Second,P1_Player,P1_Champion,P1_MinionsKilled,P1_JungleMinionsKilled,P1_X,P1_Y,P1_Team,P1_Position,P2_Player,P2_Champion,P2_MinionsKilled,P2_JungleMinionsKilled,P2_X,P2_Y,P2_Team,P2_Position,Distance_Between_Junglers,MatchId,P1_x_next,P1_y_next,P2_x_next,P2_y_next
120.0,Daakroth,Khazix,0.0,4.0,0.1666,0.5549333333333333,100.0,JUNGLE,craz,Trundle,0.0,4.0,0.4242,0.8344,200.0,JUNGLE,5701.171809373929,NA1_5320907549,0.5024666666666666,0.19833333333333333,0.747,0.5575333333333333
180.0,Daakroth,Khazix,0.0,16.0,0.5024666666666666,0.19833333333333333,100.0,JUNGLE,craz,Trundle,0.0,12.0,0.747,0.5575333333333333,200.0,JUNGLE,6518.034059438474,NA1_5320907549,0.601,0.3682,0.6688,0.484
240.0,Daakroth,Khazix,0.0,28.0,0.601,0.3682,100.0,JUNGLE,craz,Trundle,0.0,24.0,0.6688,0.484,200.0,JUNGLE,2012.8233901661613,NA1_5320907549,0.20606666666666668,0.5553333333333333,0.5483333333333333,0.6734666666666667
300.0,Daakroth,Khazix,0.0,32.0,0.20606666666666668,0.5553333333333333,100.0,JUNGLE,craz,Trundle,1.0,28.0,0.5483333333333333,0.6734666666666667,200.0,JUNGLE,5431.20060391807,NA1_5320907549,0.26253333333333334,0.4338,0.6134666666666667,0.3984666666666667
360.0,Daakroth,Khazix,0.0,37.0,0.26253333333333334,0.4338,100.0,JUNGLE,craz,Trundle,1.0,32.0,0.6134666666666667,0.3984666666666667,200.0,JUNGLE,5290.613953030404,NA1_5320907549,0.026266666666666667,0.030733333333333335,0.7862666666666667,0.4861333333333333
420.0,Daakroth,Khazix,0.0,48.0,0.026266666666666667,0.030733333333333335,100.0,JUNGLE,craz,Trundle,1.0,40.0,0.7862666666666667,0.4861333333333333,200.0,JUNGLE,13289.94209919667,NA1_5320907549,0.298,0.8061333333333334,0.48033333333333333,0.7948666666666667
480.0,Daakroth,Khazix,0.0,56.0,0.298,0.8061333333333334,100.0,JUNGLE,craz,Trundle,1.0,48.0,0.48033333333333333,0.7948666666666667,200.0,JUNGLE,2740.216414811064,NA1_5320907549,0.3128,0.6859333333333333,0.841,0.728
540.0,Daakroth,Khazix,0.0,62.0,0.3128,0.6859333333333333,100.0,JUNGLE,craz,Trundle,1.0,54.0,0.841,0.728,200.0,JUNGLE,7948.087191268098,NA1_5320907549,0.32993333333333336,0.385,0.5508,0.23613333333333333
600.0,Daakroth,Khazix,0.0,70.0,0.32993333333333336,0.385,100.0,JUNGLE,craz,Trundle,1.0,62.0,0.5508,0.23613333333333333,200.0,JUNGLE,3995.2794645681543,NA1_5320907549,0.7904666666666667,0.15453333333333333,0.8290666666666666,0.42373333333333335
660.0,Daakroth,Khazix,1.0,76.0,0.7904666666666667,0.15453333333333333,100.0,JUNGLE,craz,Trundle,1.0,62.0,0.8290666666666666,0.42373333333333335,200.0,JUNGLE,4079.2995722305072,NA1_5320907549,0.6882666666666667,0.3812,0.6934,0.37493333333333334
720.0,Daakroth,Khazix,1.0,76.0,0.6882666666666667,0.3812,100.0,JUNGLE,craz,Trundle,2.0,62.0,0.6934,0.37493333333333334,200.0,JUNGLE,121.51131634543344,NA1_5320907549,0.2594,0.42046666666666666,0.806,0.32453333333333334
780.0,Daakroth,Khazix,1.0,85.0,0.2594,0.42046666666666666,100.0,JUNGLE,craz,Trundle,2.0,70.0,0.806,0.32453333333333334,200.0,JUNGLE,8324.321113460244,NA1_5320907549,0.6003333333333334,0.42546666666666666,0.6792,0.4208
840.0,Daakroth,Khazix,1.0,92.0,0.6003333333333334,0.42546666666666666,100.0,JUNGLE,craz,Trundle,3.0,74.0,0.6792,0.4208,200.0,JUNGLE,1185.0691962919295,NA1_5320907549,0.33326666666666666,0.3817333333333333,0.6780666666666667,0.4066
900.0,Daakroth,Khazix,1.0,92.0,0.33326666666666666,0.3817333333333333,100.0,JUNGLE,craz,Trundle,3.0,74.0,0.6780666666666667,0.4066,200.0,JUNGLE,5185.432768824604,NA1_5320907549,0.3177333333333333,0.6670666666666667,0.6976,0.36573333333333335
960.0,Daakroth,Khazix,1.0,100.0,0.3177333333333333,0.6670666666666667,100.0,JUNGLE,craz,Trundle,6.0,82.0,0.6976,0.36573333333333335,200.0,JUNGLE,7273.073903103143,NA1_5320907549,0.7214666666666667,0.40386666666666665,0.8561333333333333,0.3980666666666667
1020.0,Daakroth,Khazix,1.0,104.0,0.7214666666666667,0.40386666666666665,100.0,JUNGLE,craz,Trundle,6.0,86.0,0.8561333333333333,0.3980666666666667,200.0,JUNGLE,2021.8726468301609,NA1_5320907549,0.8475333333333334,0.4886666666666667,0.8659333333333333,0.49066666666666664
1080.0,Daakroth,Khazix,1.0,108.0,0.8475333333333334,0.4886666666666667,100.0,JUNGLE,craz,Trundle,6.0,86.0,0.8659333333333333,0.49066666666666664,200.0,JUNGLE,277.62564723022257,NA1_5320907549,0.5861333333333333,0.2388,0.7471333333333333,0.7920666666666667
1140.0,Daakroth,Khazix,1.0,120.0,0.5861333333333333,0.2388,100.0,JUNGLE,craz,Trundle,6.0,86.0,0.7471333333333333,0.7920666666666667,200.0,JUNGLE,8643.241637256244,NA1_5320907549,0.026266666666666667,0.030733333333333335,0.8984666666666666,0.9347333333333333
